Id,ID_track,Artista,Album,Nombre_del_track,Popularidad,Duracion_en_ms,Explicitud,Bailabilidad,Energia,Tonalidad,Volumen,Modo,Palabrería,Acustica,Instrumentalidad,En_Vivo,Valencia,Tempo,Firma_de_tiempo,Genero_del_track
50481,7hiNlgvOZ2Lj8DN3R2NcMx,Almafuerte,Toro y Pampa (Remasterizado 2021),En el Siglo del Gran Reviente,24,180645,False,0.341,0.952,0,,1,0.0599,0.000908,0.0,0.281,0.611,95.378,4,heavy-metal
61549,7mRrzmo68Eynma0IkpxMmZ,Shiritsu Ebisu Chugaku,エビ中 秋声と螻蛄と音楽の輝き 題して「ちゅうおん」2021(Live),CITRUS - ちゅうおん2021 Live ver.,20,135666,,0.525,,11,,0,0.0372,0.00255,0.0,0.325,0.462,,4,j-idol
63188,2rZ113Rwo5iwIA2orRpDKI,Eikichi Yazawa,LIVE DECADE 1990-1999 (50th Anniversary Remastered),ファンキー・モンキー・ベイビー - Live at 横浜スタジアム'95 - Remastered 2022,41,144080,,0.573,0.961,4,-5.012,1,0.0639,0.0175,4.17e-05,0.945,0.773,136.193,4,j-rock
78200,41uJUBetzpoSXEBABYdwxb,Dora The Explorer,Dora The Explorer,Dora The Explorer Theme,43,42466,False,0.711,0.63,0,-6.591,1,0.238,0.451,9.2e-06,0.129,0.851,119.027,4,party
100054,4ddGbSuvryKgVIIBjBqGHo,Soda Stereo,Dynamo (Remastered),Camaleón - Remasterizado 2007,46,281480,,0.374,0.92,8,-7.561,1,0.0478,8.92e-05,0.491,0.0864,0.55,195.93,4,ska
50186,6wkSYibNvkulaL96eJGEyC,Almafuerte,Del Entorno,Presa Facil,31,316906,False,0.353,0.73,9,,0,0.0441,0.00794,0.0,0.328,0.315,119.527,4,heavy-metal
66473,7clJrsOQRWTzv8SEb5cs5Y,Blake Rules;Netherfriends,Kids Trap 9,Mashed Potatoes,11,103783,False,0.806,0.331,2,,1,,0.0743,3.95e-06,0.108,0.206,147.961,4,kids
64646,4SQ3WcKD6TkNDnbllzlxFw,Peggy Lee,The Very Best Christmas Songs 2022,I Like A Sleighride (Jingle Bells),0,125613,,0.758,0.451,6,,1,0.0375,0.75,0.0,0.0503,0.737,122.912,4,jazz
33059,2H3wWrnO758y0fPH7Ilerg,XXXTENTACION,17,Depression & Obsession,71,144733,True,0.769,,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,4,emo
77032,71BRjOzgS7GLAut8pOlElG,Sorriso Maroto,Sinais,Sinais,60,243493,False,0.698,0.711,9,-6.037,1,0.0296,0.74,0.0,0.104,0.683,134.097,4,pagode
67154,1sZyestTGfOxWKRxdVdKuA,J Balvin;Bad Bunny,Reggeaton Imperdible,LA CANCIÓN,2,242573,,0.756,0.646,7,-5.795,1,0.319,0.152,1.81e-05,0.108,0.429,,4,latin
91055,6v2ngdpwmKNqoojSbkmYQ6,OneRepublic,Frühstücksmusik Herbst/Winter 2022/2023,I Ain't Worried,0,148485,,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,rock
102316,5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,An Innocent Man,Uptown Girl,79,197706,False,0.701,0.944,4,,1,0.0455,0.0755,0.0,0.601,0.792,128.993,4,songwriter
51800,40KuvsFD0zpUFuCcmt5Xm0,XXXTENTACION,Bad Vibes Forever,Ex Bitch,73,121671,True,0.835,0.462,7,-6.227,1,0.155,0.513,0.0,0.0875,0.702,78.99,4,hip-hop
39485,7fxk6qjkQHs66OZcDsEe8K,Mickie Krause,Karneval Klassiker,"Biste braun, kriegste Fraun - Version 2015",0,185217,False,0.819,0.708,0,-4.706,1,0.0605,0.0157,8.62e-05,0.081,0.363,127.992,4,german
57141,02kqIWKi4zOQ2hIjUAfhqb,Ellie Goulding,pov: it's 2019,Flux,0,230973,False,0.509,0.415,0,,1,,0.856,0.0,0.14,0.393,93.576,4,indie
79142,5RgFlk1fcClZd0Y4SGYhqH,Billy Joel,The Stranger (Legacy Edition),She's Always a Woman,73,201373,False,0.292,,3,-11.996,1,,0.797,0.000473,0.12,0.384,176.631,3,piano
21009,40pz6QQ5xwbaCZX5gK8GcQ,Burna Boy,Hits Hits Hits,Last Last,0,172342,,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
66953,7ENsuXXeoqt67hYSx3h8RB,Dora The Explorer,Dora The Explorer,Swiper No Swiping!,15,46106,False,0.818,0.377,0,,0,0.321,0.725,1.83e-06,0.525,0.835,71.998,4,kids
88037,09ozFHrTL7cI5pYLJWuB2Y,Feid,Reggeaton Imperdible,Si Te La Encuentras Por Ahí,2,191506,False,0.736,,8,,0,0.0779,0.144,5.27e-05,0.112,0.433,171.973,4,reggae
43841,5tNGgP1rGx2worv7gazSPN,Trazendo a Arca,"Ao Vivo no Maracanãzinho, Vol. 2 (Ao Vivo)",O Que Dizer - Ao Vivo,24,540306,False,0.501,,9,-15.822,1,0.262,0.826,0.0,0.802,0.259,,4,groove
33445,1xbQjD5QYizXsumqPJlqBG,PXNDX,La Revancha Del Principe Charro,Mala Suerte,39,128000,False,0.5,0.94,6,-4.162,1,0.163,0.124,3.7e-05,0.206,0.538,144.244,4,emo
88086,6g9qibs8qNFnG1dFPYp48V,J Balvin,Halloween 2022 Perreo Vol. 1,Ambiente,5,249253,False,0.789,0.736,2,-6.279,0,0.0896,0.136,0.0,0.681,0.782,,4,reggae
70315,5cjBiZxqUDm5wtc3NeePEl,Jay Chou,十二新作,紅塵客棧,51,274066,False,0.432,0.468,0,-8.602,1,0.0259,0.387,0.000148,0.185,0.274,180.016,4,mandopop
113637,2jjyMzq3pvknVSBeSzjck6,Chris Tomlin,Pour Over Me - Worship Together Live 2001,Give Us Clean Hands - Pour Over Me Album Version,42,338026,False,0.274,0.485,8,-9.375,1,0.0299,0.0852,0.0,0.129,0.333,146.464,4,world-music
67206,5Mktfl3xR4CNPO0u5QZRal,Jhayco;Bad Bunny,Bájale como 7500,CÓMO SE SIENTE - Remix,0,227520,True,0.807,0.606,3,-8.871,0,,0.0946,0.0,0.119,0.304,92.988,4,latin
72027,25GC50HslaaruyrKjdu0lP,Bullet For My Valentine,Fever,Your Betrayal,68,291426,False,0.569,0.883,2,-4.41,0,0.0748,8.07e-05,7.74e-05,0.0883,0.373,134.001,4,metalcore
1298,1z8eYOOd1fjxbubkDd8Z9a,Jorge Drexler,Frontera,Memoria del cuero,25,304440,False,0.674,0.869,2,,1,0.0398,0.374,0.154,0.089,0.813,117.999,4,afrobeat
61338,4X5rzPrapQJ2Sx1oVNRfEG,Shiritsu Ebisu Chugaku,ハッピーエンドとそれから,ハッピーエンドとそれから,23,303040,False,0.693,0.813,1,,0,0.0285,0.00135,0.0,0.203,0.713,117.005,4,j-idol
57165,3N5pSTLV4v2FZonI4JMRW1,Ritviz,Mimmi,Mimmi,53,178215,,0.225,0.546,11,-7.595,1,0.051,0.156,0.0,0.174,0.303,63.82,5,indie
50947,68MqhL072urr56TFIBo2yY,Rata Blanca,Hits del Rock Argentino,La Leyenda Del Hada Y El Mago,20,322426,False,0.175,0.869,4,-10.012,0,0.0985,0.0161,0.000132,0.278,0.423,75.953,4,heavy-metal
35207,5hhiPqMOWmBAl7dTmOpk23,Os Barões Da Pisadinha,Paredão Explode,Cabeça Voando (Versão Grave),45,185585,False,0.683,0.765,1,-9.362,1,0.0412,0.0124,0.000454,0.21,0.666,172.049,4,forro
92310,4j4Zt1hjZocWXCyrf4kKUW,Eikichi Yazawa,LIVE HISTORY 2000~2015 (50th Anniversary Remastered),棕櫚の影に - Live at 日本武道館'03 - Remastered 2022,32,368386,False,0.511,,5,-12.154,1,0.0406,0.0219,0.000366,0.99,0.495,107.321,4,rockabilly
61121,0kFK96zuHVK2DeJ60htlpp,Momoiro Clover Z,One Night Carnival,One Night Carnival,29,300410,,0.562,,1,,1,,0.000233,0.293,0.346,0.613,134.933,4,j-idol
38221,5ncofiedz9Ej6YkvvXMKVn,The Strokes,The New Abnormal,Not The Same Anymore,59,337333,False,0.353,0.613,9,,1,0.031,0.384,0.0123,0.103,0.282,177.375,4,garage
77846,4mTfLX2itUOUlydzoIumb1,Zeca Pagodinho,Zeca Pagodinho - Uma Prova De Amor Ao Vivo (Deluxe),Uma Prova De Amor - Ao Vivo,43,189160,False,0.528,0.718,5,,1,0.0418,0.799,6.39e-06,0.791,0.781,109.07,4,pagode
65441,37nOpaUof3d4Xsmr6moAiI,BTS,Love Yourself 結 'Answer',Magic Shop,61,275695,,0.531,,1,,1,0.0907,0.103,0.0,0.0779,0.278,149.934,4,k-pop
52108,00NZcRjpixxnyUwltRhj7V,Ray Price,Golden Hits,Funny How Time Slips Away,19,173733,False,0.551,0.259,0,-12.877,1,0.0326,0.785,0.0585,0.177,0.426,85.436,4,honky-tonk
60974,7oi6r5fK0KPhaR2PVLvkyI,Vybz Kartel,Designa Vagina,Designa Vagina,18,198260,,0.628,0.74,8,-6.261,0,0.257,0.0602,0.0,0.0471,0.785,120.756,5,j-dance
47642,1DOeqZUzpw3ChK8giHtCLr,Charlie Brown Jr.,Imunidade Musical,Liberdade Acima De Tudo,38,187600,False,0.588,,5,,0,0.0947,0.0251,0.000203,0.104,0.45,121.961,4,hard-rock
5062,0wIfYaveiZku0eL44UXtHk,Kato,Naruto Vibes,Konoha Peace,53,101437,False,0.71,0.464,2,,1,0.0316,0.345,0.915,0.163,0.436,124.061,4,anime
88108,1C46x15N2mSd1R42po84IT,KAROL G,Fiesta portatil,PROVENZA,3,210200,False,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,4,reggae
87243,40L8OVaEpyF7KTRWTNvJGY,The Platters,Classic Christmas Music 2022,"Rudolph, The Red Nosed Reindeer",0,112960,False,0.576,0.682,3,,1,0.0369,0.726,0.0,0.236,0.919,145.274,4,r-n-b
106038,6jdkCbkSERk9RLfKzl4syv,ABBA,Best Christmas Songs 2022 | For under the Mistletoe,Happy New Year,2,263693,False,0.51,0.375,9,,1,0.0288,0.812,0.0,0.145,0.25,132.555,4,swedish
46259,3eXSlD8nIBcdkPeG8YXtyp,The Prophet,Oldschool Hardcore,Alright Here We Go!,21,379002,,0.586,,7,,1,0.0443,6.46e-05,0.943,0.166,0.0399,179.809,4,happy
13814,4kWXvW7BJbmigjXVjDXEfq,Paul Johnson,Better Than This,Better Than This - Original,5,252115,False,0.753,0.334,3,-16.452,1,0.0453,0.269,0.125,0.109,0.883,103.99,4,chicago-house
24296,7DvibYkjEw9EYyMFW4b4Yw,Drexciya,Journey of the Deep Sea Dweller IV,The Last Transmission,11,122040,False,0.616,0.815,1,-10.929,1,0.036,0.00449,0.858,0.107,0.113,129.934,4,detroit-techno
60177,0r0F6NEGEI6JFGfhtWLSYC,Vybz Kartel,Rvssian Presents Free Worl Boss,Weed Smokers,27,132911,,0.852,0.663,1,-7.542,1,0.262,0.126,2.03e-05,0.383,0.752,104.965,4,j-dance
33430,21ACvBsQXpDd3bZCpOwnL8,RADWIMPS,NINGEN GOKKO,NINGEN GOKKO,50,257371,,0.651,0.705,11,-7.082,0,0.0521,0.156,0.0,0.0642,0.485,136.023,4,emo
39639,0RSX79duQOquL7uQ2n5K8b,Die Toten Hosen,Alles aus Liebe: 40 Jahre Die Toten Hosen,Freunde,40,245313,,0.673,,7,,1,,0.0358,3.22e-06,0.0721,0.471,,4,german
66762,2JK2XwhCns1EnC4zT3falc,Blake Rules;Netherfriends,Kids Trap 15,Showing Love,8,104489,False,0.87,0.636,8,-10.163,1,0.0974,0.00697,0.00232,0.2,0.726,147.065,4,kids
56364,5e4uOUdrpFCKC2kwnXWWtY,Prateek Kuhad,Shehron Ke Raaz,Shehron Ke Raaz,46,152320,,0.777,0.215,0,-13.706,1,0.0535,0.89,0.00773,0.109,0.221,111.017,4,indie-pop
44167,32fEW4jygJjjnZh2iBa5IR,Linkin Park,Meteora (Bonus Edition),Easier to Run,57,204173,False,0.545,0.861,3,-4.819,0,0.034,0.0624,0.0,0.131,0.279,105.017,4,grunge
85401,2ydUT1pFhuLDnouelIv4WH,blink-182,Take Off Your Pants And Jacket,The Rock Show,73,171600,True,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155,4,punk-rock
67165,6dR1uxzRh6aewJ3WQg0GY6,J Balvin,Halloween 2022 Perreo Vol. 1,Rojo,5,151146,False,0.652,0.595,11,-4.04,1,,0.15,0.000106,0.0836,0.421,172.277,4,latin
12026,47jGYuKiZdYnRvnHTI1vYH,my little airport,跟你開玩笑,循環的夜,47,145643,False,0.553,0.536,10,-10.174,1,0.0295,0.00199,0.419,0.0882,0.748,133.994,4,cantopop
43166,1rnsFy41deoAFKeTTsNjNU,Lamb of God,Omens,Gomorrah,53,252125,False,0.483,,8,-4.508,1,0.112,0.00176,0.000958,0.183,0.232,147.111,4,groove
67144,5qNlMrawQu9DeWErxDeKZA,J Balvin,Carrete con besties,Sigo Extrañándote,0,201280,False,0.896,,11,,0,0.21,0.154,0.000109,0.212,0.938,93.016,4,latin
48346,3XzAKoTEjmVCZLi118Yfyu,Los Prisioneros,Pateando Piedras,Estar Solo,36,273973,False,0.788,0.522,1,-14.554,0,0.0384,0.439,0.339,0.119,0.971,122.712,4,hardcore
50084,4wvqASb0pNFqVHw6rQad2z,Stam1na,Taival,Kannoin sinut läpi hiljaisen huoneen,34,233642,,0.36,0.995,5,-4.435,0,0.104,0.000595,0.000703,0.193,0.139,123.36,4,heavy-metal
17392,6w8tGzTSdZKkKG4IWh1n6h,Glee Cast,"Glee: The Music, Volume 4","River Deep, Mountain High",52,212626,False,0.325,,8,-4.603,1,0.0755,0.0563,0.000299,0.298,0.497,167.538,4,club
50292,3HAZgY8WFMS9bcTBtgVt6p,Stam1na,Taival,"Metsästäjä, I Metsästäjä",27,179663,False,0.36,0.987,4,-4.375,0,,0.000117,2.8e-05,0.428,0.469,149.949,4,heavy-metal
61065,4DacZf3jCP9tjyQyng6hME,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,ボーイの季節(SEIKO STORY〜80's HITS COLLECTION〜),32,276213,False,0.549,,4,,1,0.0255,0.719,3.06e-06,0.183,0.378,100.47,4,j-idol
44102,3RlsVPIIs5KFhLFhxZ4iDF,Nickelback,All the Right Reasons (Walmart Exclusive Edition),Rockstar,70,252040,False,0.616,,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,4,grunge
92869,2NeKjEryWM5VZToeosUsUu,Elvis Presley,Elvis Is Back,The Girl of My Best Friend,50,142640,False,0.644,0.42,1,-14.931,0,0.0349,0.795,0.0146,0.4,0.89,132.892,4,rockabilly
146,4MihgVRpD82EZoT61GW63w,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Curbside Prophet,23,214552,False,0.619,0.793,5,,1,,0.263,0.0,0.0828,0.892,177.991,4,acoustic
64668,2FPxdkJbS7Ft0u6wg8gQUM,Peggy Lee,pov: you bake cookies,Happy Holiday,0,116893,False,0.376,0.371,6,,1,0.122,0.449,2.28e-06,0.106,0.656,195.668,3,jazz
33794,42LrSqMydgRvWOf5rYNJqO,PXNDX,La Revancha Del Principe Charro,Doble Gracias,35,165373,,0.506,0.943,8,-3.504,1,0.055,0.00788,0.0,0.0267,0.793,111.21,4,emo
63833,0udDJIWbHhgSIbpZavxm8I,BOØWY,MORAL,MASS AGE,32,192006,False,0.654,,9,-4.053,1,0.117,0.0335,0.6,0.274,0.879,121.82,4,j-rock
91335,5VaEDgy72bTbPnat9WHe5y,Bryan Adams,Best Christmas Playlist Ever 2022,Christmas Time,0,243057,False,0.503,0.582,0,,1,,0.472,0.0,0.103,0.326,77.321,4,rock
108483,55utEbytZQB7lm2fsK4anY,Carlos Gardel,Carlos Gardel - Sus Mejores Tangos,Volver,20,175466,False,0.34,0.379,1,-10.24,1,,0.995,0.0134,0.419,0.399,140.034,5,tango
51501,1rDQ4oMwGJI7B4tovsBOxc,Jack Harlow,First Class,First Class,86,173947,True,0.905,0.563,8,-6.135,1,,0.0254,9.71e-06,0.113,0.324,,4,hip-hop
20069,04Rwlix3S6i0JeprqsC8Cx,Bruno Mars;Anderson .Paak;Silk Sonic,20's R'n'B,Love's Train,0,307014,False,0.71,0.625,6,,0,,0.029,1.1e-05,0.108,0.784,140.994,4,dance
